riskzone,year,Canola Dryland WEIGHTED AVERAGE YIELD ,Canola Dryland TOTAL ACREAGE ,Canola Irrigated WEIGHTED AVERAGE YIELD ,Canola Irrigated TOTAL ACREAGE ,Wheat Dryland WEIGHTED AVERAGE YIELD ,Wheat Dryland TOTAL ACREAGE ,Wheat Irrigated WEIGHTED AVERAGE YIELD ,Wheat Irrigated TOTAL ACREAGE ,Barley Dryland WEIGHTED AVERAGE YIELD,Barley Dryland TOTAL ACREAGE ,Barley Irrigated WEIGHTED AVERAGE YIELD,Barley Irrigated TOTAL ACREAGE 
1,2018,,,,,,,,,64,21149,,
2,2018,26,295501,66,45843,38,384926,96,63656,47,225100,119,32638
3,2018,19,140351,63,16078,26,461430,95,118934,30,89202,110,18922
4,2018,26,80577,62,19435,31,299530,86,46973,41,44697,106,8097
5,2018,36,341734,62,11417,50,433237,79,16397,61,226736,94,8141
6,2018,44,12823,,,67,8711,,,77,20837,,
7,2018,44,257390,,,70,245823,,,84,187339,,
8,2018,33,362348,,,49,392422,,,63,183754,,
9,2018,32,203768,,,40,312849,,,55,61669,,
10,2018,44,87888,,,61,72377,,,73,36788,,
11,2018,48,400779,,,61,374494,,,77,143449,,
12,2018,41,552759,,,49,576489,,,69,145062,,
13,2018,46,729468,,,55,609724,,,79,140358,,
14,2018,37,23314,,,58,23015,,,66,14012,,
15,2018,45,294043,,,67,221138,,,80,72379,,
16,2018,41,18854,,,62,8582,,,,,,
17,2018,41,32415,,,59,33199,,,76,8021,,
18,2018,41,51586,,,62,36223,,,75,9442,,
19,2018,43,487857,,,62,285014,,,85,66700,,
20,2018,41,89453,,,64,82585,,,76,9525,,
21,2018,33,138199,,,61,83189,,,75,27630,,
22,2018,37,73423,,,56,41580,,,79,18460,,
1,2017,,,42,2698,,,,,68,19317,,
2,2017,26,345845,60,54014,39,411286,90,75902,47,201968,115,25449
3,2017,21,184374,57,23369,31,464330,90,111338,35,59194,99,12458
4,2017,23,105182,56,23130,33,270774,82,49703,44,30017,99,6264
5,2017,44,374394,64,12856,66,414016,89,14208,82,219040,101,5816
6,2017,42,12371,,,64,9233,,,76,18614,,
7,2017,50,284529,,,78,230310,,,85,181004,,
8,2017,45,388157,,,65,359709,,,83,177595,,
9,2017,28,216909,,,40,317255,,,54,51683,,
10,2017,36,82748,,,56,58199,,,67,23771,,
11,2017,49,434955,,,69,331566,,,76,121393,,
12,2017,45,563711,,,60,542293,,,78,143232,,
13,2017,44,700493,,,58,570647,,,75,126362,,
14,2017,29,28687,,,51,11839,,,47,11949,,
15,2017,44,305974,,,66,182872,,,70,64171,,
16,2017,42,14752,,,61,5496,,,,,,
17,2017,40,33146,,,54,18476,,,,,,
18,2017,36,63689,,,55,22257,,,54,5349,,
19,2017,42,508171,,,55,242680,,,76,52938,,
20,2017,44,94797,,,55,63930,,,76,6696,,
21,2017,35,138262,,,51,67616,,,72,17200,,
22,2017,36,78520,,,45,33501,,,78,11527,,
1,2016,53,13860,,,,,,,61,23461,,
2,2016,48,268942,61,51600,46,432340,76,79623,67,211087,97,34441
3,2016,46,88276,61,13801,46,503925,84,120236,59,85295,99,19479
4,2016,48,46458,57,18832,46,258012,76,41929,62,50645,92,11216
5,2016,49,332240,55,11369,58,407401,74,13093,76,202873,89,7457
6,2016,33,9798,,,62,7610,,,69,17478,,
7,2016,51,250938,,,74,217632,,,83,158487,,
8,2016,52,350209,,,61,328795,,,78,131559,,
9,2016,44,167934,,,47,297217,,,61,69434,,
10,2016,25,82495,,,55,68575,,,56,34537,,
11,2016,45,392471,,,67,352648,,,73,158315,,
12,2016,46,510871,,,58,510717,,,70,116115,,
13,2016,42,689784,,,56,551160,,,59,140797,,
14,2016,16,25954,,,52,25749,,,38,17262,,
15,2016,41,297323,,,68,205597,,,65,87644,,
16,2016,36,17393,,,53,9999,,,,,,
17,2016,35,37651,,,46,23975,,,83,7186,,
18,2016,30,62909,,,59,43898,,,55,15849,,
19,2016,38,483176,,,60,318256,,,70,45419,,
20,2016,34,93986,,,63,71283,,,57,5734,,
21,2016,34,106907,,,55,89660,,,51,19450,,
22,2016,37,78149,,,48,36470,,,70,9890,,
1,2015,37,11698,,,,,,,70,24555,,
2,2015,40,283303,59,45101,49,374981,78,68478,71,273708,96,40921
3,2015,31,90170,53,21819,35,496745,83,120781,50,98200,98,19967
4,2015,24,67405,57,22359,27,264225,78,44618,34,48322,88,12863
5,2015,40,340291,53,12253,44,419487,69,15146,63,257829,84,7716
6,2015,40,13059,,,76,5393,,,74,23006,,
7,2015,51,254962,,,76,208655,,,83,227393,,
8,2015,49,353366,,,53,345868,,,70,231089,,
9,2015,35,175940,,,31,330095,,,49,74094,,
10,2015,48,79868,,,57,67493,,,60,37717,,
11,2015,47,414373,,,56,343309,,,67,178778,,
12,2015,46,514783,,,42,537676,,,65,173787,,
13,2015,44,686944,,,44,574909,,,65,176116,,
14,2015,39,26793,,,52,18879,,,65,12972,,
15,2015,45,286250,,,54,197863,,,65,93679,,
16,2015,41,14630,,,49,9434,,,,,,
17,2015,39,31251,,,61,30884,,,,,,
18,2015,35,62642,,,53,52109,,,69,14090,,
19,2015,35,450653,,,46,312713,,,68,54303,,
20,2015,40,91191,,,44,73498,,,58,7195,,
21,2015,21,132080,,,34,97318,,,40,21223,,
22,2015,22,79949,,,19,35620,,,39,3066,,
1,2014,30,11565,,,,,,,60,27175,,
2,2014,36,299112,54,46518,46,378266,75,63320,62,290744,87,54087
3,2014,32,108087,57,19958,42,452041,84,121086,59,95705,92,21521
4,2014,32,64982,52,24455,37,269111,72,46719,48,41944,84,12772
5,2014,36,340094,46,11972,47,413734,57,14739,60,259304,71,8968
6,2014,32,10809,,,54,4379,,,49,25157,,
7,2014,40,265116,,,66,200554,,,63,232884,,
8,2014,39,371722,,,48,351435,,,61,217870,,
9,2014,35,183440,,,38,318893,,,53,77239,,
10,2014,42,91061,,,71,66113,,,69,29171,,
11,2014,48,429115,,,66,336648,,,77,166780,,
12,2014,44,533049,,,53,539835,,,71,155904,,
13,2014,43,724095,,,57,550776,,,69,168375,,
14,2014,39,30226,,,62,22273,,,70,10664,,
15,2014,41,298990,,,70,176697,,,68,90506,,
16,2014,31,18321,,,62,7079,,,,,,
17,2014,33,38401,,,44,24513,,,,,,
18,2014,34,80050,,,51,60055,,,66,10788,,
19,2014,30,518062,,,44,301741,,,64,46540,,
20,2014,32,105987,,,48,66065,,,69,5277,,
21,2014,29,160662,,,44,91208,,,51,16564,,
22,2014,32,87138,,,40,38891,,,61,4174,,